"","x"
"678","Building Confidence in Shell: Variations in the Marine Radiocarbon Reservoir Correction for the Northwest Coast over the past 3,000 Years"
"679","41MV120: A Stratified Late Archaic Site in Maverick County, Texas"
"680","Archeological Testing at Prehistoric Site 41UR36 Upshur County, Texas"
"681","Archaeological Testing of Site 41WM443 Williamson County, Texas"
"682","Archaeological Testing of Site 41WM443 Williamson County, Texas"
"683","Results of Testing at Site 41KA87 Karnes County, Texas"
"684","Archeaological Testing of Site 41VV801 Val Verde County, Texas"
"685","An Archaeological Survey of Converse City Park, Bexar County, Texas"
"686","Archaeological Survey of Bandera City Park, Bandera County, Texas"
"687","Archaeological Testing of Site 41WM461 Williamson County, Texas"
"688","Archaeological Test Excavation At Site 41MX23 Morris County, Texas"
"689","Building Confidence in Shell: Variations in the Marine Radiocarbon Reservoir Correction for the Northwest Coast over the past 3,000 Years"
"690","Test Excavations at Prehistoric Site 41SM203, Smith County, Texas"
"691","Building Confidence in Shell: Variations in the Marine Radiocarbon Reservoir Correction for the Northwest Coast over the past 3,000 Years"
"692","Report of Test Excavations Along S.H. 16 in Bexar County 41BX502"
"693","Archaeological Data Recovery at Fish Creek Slough Site (41DL436)"
"694","Research Design Archaeological Site 41KE93 Kendall County, Texas"
"695","Clovis and Western Stemmed: Population Migration and the Meeting of Two Technologies in the Intermountain West"
"696","41BX171: A Late Nineteenth Century City Dump in San Antonio, Texas"
"697","Archaeological Testing of Site 41HK28 Haskell County, Texas"
"698","Archaeological Testing of Site 41CI30 Childress County, Texas"
"699","Archaeological Testing of Site 41BU24 Burleson County, Texas"
"700","Archaeological Testing of Site 41CC233 Concho County, Texas"
"701","Archaeological Testing of Site 41HK28 Haskell County, Texas"
"702","Archaeological Testing of Site 41HR564 Harris County, Texas"
"703","Archaeological Testing of Site 41BX679 Bexar County, Texas"
"704","Archaeological Testing of Site 41WL19 Waller County, Texas"
"705","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"706","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"707","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"708","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"709","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"710","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"711","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"712","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"713","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"714","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"715","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"716","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"717","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"718","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"719","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"720","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"721","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"722","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"723","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"724","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"725","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"726","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"727","Bone Chemistry, Body Parts, and Growth Marks: Evaluating Ohio Hopewell and Cahokia Mississippian Seasonality, Subsistence, Ritual, and Feasting"
"728","On Archaeology and the Study of Ritual: Considering Inadequacies in the Culture-History Approach and Quests for Internal ""Meaning"""
"729","Archaeological Testing of Site 41BL260 Bell County, Texas"
"730","Archaeological Testing of Site 41BL301 Bell County, Texas"
"731","Test Excavations at Site 41LK269 Live Oak County, Texas"
"732","Archaeological Testing Site 41WH85 Wharton County, Texas"
"733","Archaeological Testing of Site 41CK178 Coke County, Texas"
"734","Archaeological Testing of Site 41KR210 Kerr County, Texas"
"735","Archaeological Testing of Site 41LR92 Lamar County, Texas"
"736","Accelerator Mass Spectrometry ¹⁴c Dating and the Antiquity of Shell-tempered Ceramics from the Chesapeake Bay and Middle Atlantic"
"737","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"738","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"739","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"740","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"741","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"742","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"743","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"744","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"745","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"746","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"747","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"748","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"749","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"750","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"751","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"752","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"753","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"754","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"755","Archaeological Testing of Site 41KR210 Kerr County, Texas"
"756","Test Excavations at 41HE257, Henderson County, Texas"
"757","Test Excavations at Site 41BU49 Burleson County, Texas"
"758","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"759","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"760","Transport Distance and Debitage Assemblage Diversity: An Application of the Field Processing Model to Southern Utah Toolstone Procurement Sites"
"761","Test Excavations at Site 41CD56 Colorado County, Texas"
"762","Archaeological Testing of Site 41PK69 Polk County, Texas"
"763","Archaeological Testing of Site 41YN2 Young County, Texas"
"764","Test Excavations of Site 41NL20 Nolan County, Texas"
"765","Collapse of Crucial Resources and Culture Change: A Model for the Woodland to Oneota Transformation in the Upper Midwest"
"766","Collapse of Crucial Resources and Culture Change: A Model for the Woodland to Oneota Transformation in the Upper Midwest"
"767","Collapse of Crucial Resources and Culture Change: A Model for the Woodland to Oneota Transformation in the Upper Midwest"
"768","Collapse of Crucial Resources and Culture Change: A Model for the Woodland to Oneota Transformation in the Upper Midwest"
"769","Papers on Paleo-Indian Archaeology in Texas: I"
"770","Test Excavation at Site 41KT32 Kent County, Texas"
"771","Collapse of Crucial Resources and Culture Change: A Model for the Woodland to Oneota Transformation in the Upper Midwest"
"772","Differential Temporal and Spatial Preservation of Archaeological Sites in a Great Lakes Coastal Zone"
"773","Collapse of Crucial Resources and Culture Change: A Model for the Woodland to Oneota Transformation in the Upper Midwest"
"774","Collapse of Crucial Resources and Culture Change: A Model for the Woodland to Oneota Transformation in the Upper Midwest"
"775","Collapse of Crucial Resources and Culture Change: A Model for the Woodland to Oneota Transformation in the Upper Midwest"
"776","Determining Provenance of Shell-Tempered Pottery from the Central Plains Using Petrography and Oxidation Analysis"
"777","The Clovis Occupation of the Dietz Site (35lk1529), Lake County, Oregon, and Its Bearing on the Adaptive Diversity of Clovis Foragers"
"778","The Clovis Occupation of the Dietz Site (35lk1529), Lake County, Oregon, and Its Bearing on the Adaptive Diversity of Clovis Foragers"
"779","The Clovis Occupation of the Dietz Site (35lk1529), Lake County, Oregon, and Its Bearing on the Adaptive Diversity of Clovis Foragers"
"780","The Clovis Occupation of the Dietz Site (35lk1529), Lake County, Oregon, and Its Bearing on the Adaptive Diversity of Clovis Foragers"
"781","The Clovis Occupation of the Dietz Site (35lk1529), Lake County, Oregon, and Its Bearing on the Adaptive Diversity of Clovis Foragers"
"782","The Clovis Occupation of the Dietz Site (35lk1529), Lake County, Oregon, and Its Bearing on the Adaptive Diversity of Clovis Foragers"
"783","The Clovis Occupation of the Dietz Site (35lk1529), Lake County, Oregon, and Its Bearing on the Adaptive Diversity of Clovis Foragers"
"784","The Clovis Occupation of the Dietz Site (35lk1529), Lake County, Oregon, and Its Bearing on the Adaptive Diversity of Clovis Foragers"
"785","Collapse of Crucial Resources and Culture Change: A Model for the Woodland to Oneota Transformation in the Upper Midwest"
"786","Collapse of Crucial Resources and Culture Change: A Model for the Woodland to Oneota Transformation in the Upper Midwest"
"787","Collapse of Crucial Resources and Culture Change: A Model for the Woodland to Oneota Transformation in the Upper Midwest"
"788","Determining Provenance of Shell-Tempered Pottery from the Central Plains Using Petrography and Oxidation Analysis"
"789","Determining Provenance of Shell-Tempered Pottery from the Central Plains Using Petrography and Oxidation Analysis"
"790","Collapse of Crucial Resources and Culture Change: A Model for the Woodland to Oneota Transformation in the Upper Midwest"
"791","Differential Temporal and Spatial Preservation of Archaeological Sites in a Great Lakes Coastal Zone"
"792","Differential Temporal and Spatial Preservation of Archaeological Sites in a Great Lakes Coastal Zone"
"793","Collapse of Crucial Resources and Culture Change: A Model for the Woodland to Oneota Transformation in the Upper Midwest"
"794","Collapse of Crucial Resources and Culture Change: A Model for the Woodland to Oneota Transformation in the Upper Midwest"
"795","Collapse of Crucial Resources and Culture Change: A Model for the Woodland to Oneota Transformation in the Upper Midwest"
"796","Collapse of Crucial Resources and Culture Change: A Model for the Woodland to Oneota Transformation in the Upper Midwest"
"797","Collapse of Crucial Resources and Culture Change: A Model for the Woodland to Oneota Transformation in the Upper Midwest"
"798","Differential Temporal and Spatial Preservation of Archaeological Sites in a Great Lakes Coastal Zone"
"799","Differential Temporal and Spatial Preservation of Archaeological Sites in a Great Lakes Coastal Zone"
"800","Determining Provenance of Shell-Tempered Pottery from the Central Plains Using Petrography and Oxidation Analysis"
"801","Collapse of Crucial Resources and Culture Change: A Model for the Woodland to Oneota Transformation in the Upper Midwest"
"802","Collapse of Crucial Resources and Culture Change: A Model for the Woodland to Oneota Transformation in the Upper Midwest"
"803","Differential Temporal and Spatial Preservation of Archaeological Sites in a Great Lakes Coastal Zone"
"804","Differential Temporal and Spatial Preservation of Archaeological Sites in a Great Lakes Coastal Zone"
"805","Determining Provenance of Shell-Tempered Pottery from the Central Plains Using Petrography and Oxidation Analysis"
"806","A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design"
"807","A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design"
"808","A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design"
"809","A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design"
"810","A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design"
"811","A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design"
"812","A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design"
"813","A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design"
"814","Differential Temporal and Spatial Preservation of Archaeological Sites in a Great Lakes Coastal Zone"
"815","Collapse of Crucial Resources and Culture Change: A Model for the Woodland to Oneota Transformation in the Upper Midwest"
"816","Determining Provenance of Shell-Tempered Pottery from the Central Plains Using Petrography and Oxidation Analysis"
"817","Excavation of 41FY58, Fayette County, Texas"
"818","Differential Temporal and Spatial Preservation of Archaeological Sites in a Great Lakes Coastal Zone"
"819","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado"
"820","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado"
"821","Bone Chemistry, Body Parts, and Growth Marks: Evaluating Ohio Hopewell and Cahokia Mississippian Seasonality, Subsistence, Ritual, and Feasting"
"822","Bone Chemistry, Body Parts, and Growth Marks: Evaluating Ohio Hopewell and Cahokia Mississippian Seasonality, Subsistence, Ritual, and Feasting"
"823","Bone Chemistry, Body Parts, and Growth Marks: Evaluating Ohio Hopewell and Cahokia Mississippian Seasonality, Subsistence, Ritual, and Feasting"
"824","Bone Chemistry, Body Parts, and Growth Marks: Evaluating Ohio Hopewell and Cahokia Mississippian Seasonality, Subsistence, Ritual, and Feasting"
"825","The Evolution of a Caddo Community in Northeastern Texas: The Oak Hill Village Site (41RK214), Rusk County, Texas"
"826","Bone Chemistry, Body Parts, and Growth Marks: Evaluating Ohio Hopewell and Cahokia Mississippian Seasonality, Subsistence, Ritual, and Feasting"
"827","Watson Brake, a Middle Archaic Mound Complex in Northeast Louisiana"
"828","A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design"
"829","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado"
"830","A Symmetry Analysis of Design Structure: 1,000 Years of Continuity and Change in Puebloan Ceramic Design"
"831","The Evolution of a Caddo Community in Northeastern Texas: The Oak Hill Village Site (41RK214), Rusk County, Texas"
"832","The Evolution of a Caddo Community in Northeastern Texas: The Oak Hill Village Site (41RK214), Rusk County, Texas"
"833","Archaeological Testing of Site 41CW25"
"834","The Evolution of a Caddo Community in Northeastern Texas: The Oak Hill Village Site (41RK214), Rusk County, Texas"
"835","The Evolution of a Caddo Community in Northeastern Texas: The Oak Hill Village Site (41RK214), Rusk County, Texas"
"836","Stable Isotope Study of Hunter-gatherer-fisher Diet, Mobility, and Intensification on the Texas Gulf Coastal Plain"
"837","Stable Isotope Study of Hunter-gatherer-fisher Diet, Mobility, and Intensification on the Texas Gulf Coastal Plain"
"838","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado"
"839","Stable Isotope Study of Hunter-gatherer-fisher Diet, Mobility, and Intensification on the Texas Gulf Coastal Plain"
"840","The Evolution of a Caddo Community in Northeastern Texas: The Oak Hill Village Site (41RK214), Rusk County, Texas"
"841","The Evolution of a Caddo Community in Northeastern Texas: The Oak Hill Village Site (41RK214), Rusk County, Texas"
"842","The Evolution of a Caddo Community in Northeastern Texas: The Oak Hill Village Site (41RK214), Rusk County, Texas"
"843","Stable Isotope Study of Hunter-gatherer-fisher Diet, Mobility, and Intensification on the Texas Gulf Coastal Plain"
"844","The Evolution of a Caddo Community in Northeastern Texas: The Oak Hill Village Site (41RK214), Rusk County, Texas"
"845","The Evolution of a Caddo Community in Northeastern Texas: The Oak Hill Village Site (41RK214), Rusk County, Texas"
"846","The Evolution of a Caddo Community in Northeastern Texas: The Oak Hill Village Site (41RK214), Rusk County, Texas"
"847","The Evolution of a Caddo Community in Northeastern Texas: The Oak Hill Village Site (41RK214), Rusk County, Texas"
"848","Obsidian Evidence of Interaction and Migration From the Mesa Verde Region, Southwest Colorado"
"849","Watson Brake, a Middle Archaic Mound Complex in Northeast Louisiana"
"850","The Evolution of a Caddo Community in Northeastern Texas: The Oak Hill Village Site (41RK214), Rusk County, Texas"
"851","The Evolution of a Caddo Community in Northeastern Texas: The Oak Hill Village Site (41RK214), Rusk County, Texas"
"852","The Evolution of a Caddo Community in Northeastern Texas: The Oak Hill Village Site (41RK214), Rusk County, Texas"
"853","Stable Isotope Study of Hunter-gatherer-fisher Diet, Mobility, and Intensification on the Texas Gulf Coastal Plain"
"854","The Evolution of a Caddo Community in Northeastern Texas: The Oak Hill Village Site (41RK214), Rusk County, Texas"
"855","Stable Isotope Study of Hunter-gatherer-fisher Diet, Mobility, and Intensification on the Texas Gulf Coastal Plain"
"856","Stable Isotope Study of Hunter-gatherer-fisher Diet, Mobility, and Intensification on the Texas Gulf Coastal Plain"
"857","The Evolution of a Caddo Community in Northeastern Texas: The Oak Hill Village Site (41RK214), Rusk County, Texas"
"858","The Evolution of a Caddo Community in Northeastern Texas: The Oak Hill Village Site (41RK214), Rusk County, Texas"
"859","The Evolution of a Caddo Community in Northeastern Texas: The Oak Hill Village Site (41RK214), Rusk County, Texas"
"860","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"861","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"862","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"863","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"864","Stable Isotope Study of Hunter-gatherer-fisher Diet, Mobility, and Intensification on the Texas Gulf Coastal Plain"
"865","The Evolution of a Caddo Community in Northeastern Texas: The Oak Hill Village Site (41RK214), Rusk County, Texas"
"866","Opportunistic Whale Hunting on the Southern Northwest Coast: Ancient DNA, Artifact, and Ethnographic Evidence"
"867","Opportunistic Whale Hunting on the Southern Northwest Coast: Ancient DNA, Artifact, and Ethnographic Evidence"
"868","Site Structure and Activity Organization at a Late Paleoindian Base Camp in Western Nebraska"
"869","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"870","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"871","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"872","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"873","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"874","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"875","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"876","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"877","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"878","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"879","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"880","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"881","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"882","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"883","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"884","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"885","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"886","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"887","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"888","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"889","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"890","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"891","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"892","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"893","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"894","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"895","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"896","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"897","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"898","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"899","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"900","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"901","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"902","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"903","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"904","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"905","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"906","Occasional Hunts or Mass Kills? Investigating the Origins of Archaeological Pronghorn Bonebeds in Southwest Wyoming"
"907","Occasional Hunts or Mass Kills? Investigating the Origins of Archaeological Pronghorn Bonebeds in Southwest Wyoming"
"908","Occasional Hunts or Mass Kills? Investigating the Origins of Archaeological Pronghorn Bonebeds in Southwest Wyoming"
"909","Site Structure and Activity Organization at a Late Paleoindian Base Camp in Western Nebraska"
"910","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"911","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"912","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"913","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"914","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"915","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"916","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"917","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"918","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"919","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"920","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"921","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"922","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"923","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"924","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"925","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"926","Occasional Hunts or Mass Kills? Investigating the Origins of Archaeological Pronghorn Bonebeds in Southwest Wyoming"
"927","Occasional Hunts or Mass Kills? Investigating the Origins of Archaeological Pronghorn Bonebeds in Southwest Wyoming"
"928","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"929","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"930","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"931","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"932","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"933","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"934","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"935","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"936","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"937","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"938","Occasional Hunts or Mass Kills? Investigating the Origins of Archaeological Pronghorn Bonebeds in Southwest Wyoming"
"939","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"940","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"941","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"942","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"943","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"944","Hierarchy, Communalism, and the Spatial Order of Northwest Coast Plank Houses: A Comparative Study"
"945","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"946","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"947","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"948","Hierarchy, Communalism, and the Spatial Order of Northwest Coast Plank Houses: A Comparative Study"
"949","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"950","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"951","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"952","Empirical Bayesian Methods for Archaeological Survey Data: An Application from the Mesa Verde Region"
"953","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"954","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"955","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"956","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"957","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"958","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"959","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"960","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"961","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"962","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"963","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"964","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"965","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"966","Occasional Hunts or Mass Kills? Investigating the Origins of Archaeological Pronghorn Bonebeds in Southwest Wyoming"
"967","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"968","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"969","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"970","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"971","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"972","Jake Bluff: Clovis Bison Hunting on the Southern Plains of North America"
"973","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
"974","Biological Relationships Between Foragers and Farmers of South-central North America: Nonmetric Dental Traits"
